?色	文本名	代?	重量	部分	作者	?建日期	批注	文本?	?域	覆?率 %	起?	??
●	uid32-ys	關係基礎分類\朋友	0	A:印在這，他比較常跟我講說，可是他已經太常講到的時候，你有時候也不會這麼及時回，就是他一直都在那個僵局，就可能一直密都還在那個僵局，那種可能就......如果他突然間有一個新的進展的話可能就會回	Hank	2019/8/25 14:08:35		重複(ys)	98	0.79	94	94
●	uid32-ys	通訊內容的特性\重要	0	A:印在這，他比較常跟我講說，可是他已經太常講到的時候，你有時候也不會這麼及時回，就是他一直都在那個僵局，就可能一直密都還在那個僵局，那種可能就......如果他突然間有一個新的進展的話可能就會回	Hank	2019/8/25 14:08:46		重複(ys)	98	0.79	94	94
●	uid32-ys	通訊內容的特性\非工作相關(限用於工作夥伴)	0	A:因為他也很常跟我聊他家的貓怎樣的啊，就是我們會聊一些課業以外的東西	Hank	2019/8/25 14:09:45		重複(ys)	35	0.28	142	142
●	uid32-ys	關係基礎分類\工作夥伴	0	A:因為他也很常跟我聊他家的貓怎樣的啊，就是我們會聊一些課業以外的東西	Hank	2019/8/25 14:09:56		重複(ys)	35	0.28	142	142
●	uid32-ys	關係基礎分類\朋友	0	A:因為他也很常跟我聊他家的貓怎樣的啊，就是我們會聊一些課業以外的東西	Hank	2019/8/25 14:10:01		重複(ys)	35	0.28	142	142
●	uid32-ys	通訊內容的特性\急迫	0	A:我會希望他跟我說他現在到哪裡了	Hank	2019/8/25 14:10:18		重複(ys)	17	0.14	148	148
●	uid32-ys	受測者使用通訊軟體的態度\希望對方盡快回覆	0	A:我會希望他跟我說他現在到哪裡了	Hank	2019/8/25 14:10:26		重複(ys)	17	0.14	148	148
●	uid32-ys	受測者使用通訊軟體的態度\希望對方盡快回覆	0	A:我會希望在......我可能會希望在三分鐘以內已讀他吧，這要看那個時間，比如說我是約三點，那如果我是兩點五十五分到的話我就不會那麼急迫要他看到，但是如果三點到了那他應該要在三分鐘以內跟我說他到哪裡了，或是他還要多久	Hank	2019/8/25 14:10:44		重複(ys)	109	0.88	152	152
●	uid32-ys	通訊內容的特性\急迫	0	A:我會希望在......我可能會希望在三分鐘以內已讀他吧，這要看那個時間，比如說我是約三點，那如果我是兩點五十五分到的話我就不會那麼急迫要他看到，但是如果三點到了那他應該要在三分鐘以內跟我說他到哪裡了，或是他還要多久	Hank	2019/8/25 14:10:46		重複(ys)	109	0.88	152	152
●	uid32-ys	通訊內容的特性\急迫	0	A:就是幫她解那一題，因為他不會那一題，或者是我跟他一起看的考古題，那些老師出的，然後希望我可以，因為他隔天就要考試了，所以很緊急，那種可能就比較急迫	Hank	2019/8/25 14:10:59		重複(ys)	75	0.61	160	160
●	uid32-ys	聯絡人使用通訊軟體的態度\希望對方盡快回覆	0	A:就是幫她解那一題，因為他不會那一題，或者是我跟他一起看的考古題，那些老師出的，然後希望我可以，因為他隔天就要考試了，所以很緊急，那種可能就比較急迫	Hank	2019/8/25 14:11:04		重複(ys)	75	0.61	160	160
●	uid32-ys	關係基礎分類\朋友	0	A:就是幫她解那一題，因為他不會那一題，或者是我跟他一起看的考古題，那些老師出的，然後希望我可以，因為他隔天就要考試了，所以很緊急，那種可能就比較急迫	Hank	2019/8/25 14:11:11		重複(ys)	75	0.61	160	160
●	uid32-ys	關係基礎分類\工作夥伴	0	A:因為其實有時候我傳給老師的東西，喔對啦我傳就老師的東西是蠻急迫的，因為我現在做的實驗是FMRI的，那我可能會想要問老師說我程式o不ok能不能去訂那個時間，因為FMRI是要搶時間的，不然很容易被人家搶走，因為我是在台大的儀器做的	Hank	2019/8/25 14:11:28		重複(ys)	115	0.93	166	166
●	uid32-ys	聯絡人與受測者的關係\聯絡人權力關係較高	0	A:因為其實有時候我傳給老師的東西，喔對啦我傳就老師的東西是蠻急迫的，因為我現在做的實驗是FMRI的，那我可能會想要問老師說我程式o不ok能不能去訂那個時間，因為FMRI是要搶時間的，不然很容易被人家搶走，因為我是在台大的儀器做的	Hank	2019/8/25 14:11:31		重複(ys)	115	0.93	166	166
●	uid32-ys	通訊內容的特性\急迫	0	A:因為其實有時候我傳給老師的東西，喔對啦我傳就老師的東西是蠻急迫的，因為我現在做的實驗是FMRI的，那我可能會想要問老師說我程式o不ok能不能去訂那個時間，因為FMRI是要搶時間的，不然很容易被人家搶走，因為我是在台大的儀器做的	Hank	2019/8/25 14:11:34		重複(ys)	115	0.93	166	166
●	uid32-ys	受測者使用通訊軟體的態度\希望對方盡快回覆	0	A:因為其實有時候我傳給老師的東西，喔對啦我傳就老師的東西是蠻急迫的，因為我現在做的實驗是FMRI的，那我可能會想要問老師說我程式o不ok能不能去訂那個時間，因為FMRI是要搶時間的，不然很容易被人家搶走，因為我是在台大的儀器做的	Hank	2019/8/25 14:12:07		重複(ys)	115	0.93	166	166
●	uid32-ys	關係基礎分類\工作夥伴	0	A:摁，他就是那個要聯絡報帳的事情，然後因為他跟我是一起收拾，因為我需要有人幫我一起收，有人要顧儀器，有人要顧程式跑的怎麼樣，所以我一定有一個人要跟我一起做，那我們就會需要比較即時的通知這樣	Hank	2019/8/25 14:12:41		重複(ys)	95	0.77	182	182
●	uid32-ys	受測者回覆速度\回覆速度快	0	A:摁，他就是那個要聯絡報帳的事情，然後因為他跟我是一起收拾，因為我需要有人幫我一起收，有人要顧儀器，有人要顧程式跑的怎麼樣，所以我一定有一個人要跟我一起做，那我們就會需要比較即時的通知這樣	Hank	2019/8/25 14:12:51		重複(ys)	95	0.77	182	182
●	uid32-ys	通訊內容的特性\工作相關	0	A:摁，他就是那個要聯絡報帳的事情，然後因為他跟我是一起收拾，因為我需要有人幫我一起收，有人要顧儀器，有人要顧程式跑的怎麼樣，所以我一定有一個人要跟我一起做，那我們就會需要比較即時的通知這樣	Hank	2019/8/25 14:13:01		重複(ys)	95	0.77	182	182
●	uid32-ys	受測者使用通訊軟體的習慣\基本上回覆慢	0	A:因為我自己有時候通常我不會馬上回會隔幾個小時是因為我想要在自己完全空閒下來的時間，然後長時間的，但是我不喜歡講一句花就消失，所以別人在密我的時候我可能在做其他事情，那我可能就會隔幾個小時再回他	Hank	2019/8/25 14:13:58		重複(ys)	98	0.79	192	192
●	uid32-ys	受測者使用通訊軟體的習慣\基本上回覆慢	0	A:那如果比較重要的話我可能就會先把手邊的事情先放下來，然後就回他，如果比較沒那麼重要的事情就可能先把自己的事情趕快做完然後幾個小時內回他	Hank	2019/8/25 14:14:04		重複(ys)	69	0.56	193	193
●	uid32-ys	通訊內容的特性\重要	0	A:那如果比較重要的話我可能就會先把手邊的事情先放下來，然後就回他，如果比較沒那麼重要的事情就可能先把自己的事情趕快做完然後幾個小時內回他	Hank	2019/8/25 14:14:10		重複(ys)	69	0.56	193	193
●	uid32-ys	受測者回覆速度\回覆速度快	0	A:那如果比較重要的話我可能就會先把手邊的事情先放下來，然後就回他，如果比較沒那麼重要的事情就可能先把自己的事情趕快做完然後幾個小時內回他	Hank	2019/8/25 14:14:15		重複(ys)	69	0.56	193	193
●	uid32-ys	通訊內容的特性\重要	0	A:那我可能就會去猜測我對那個人我屬於哪一種的，如果他是那種會一直注意我已讀了沒，那種我可能就會比較快的回他	Hank	2019/8/25 14:14:53		重複(ys)	54	0.44	215	215
●	uid32-ys	受測者回覆速度\回覆速度快	0	A:那我可能就會去猜測我對那個人我屬於哪一種的，如果他是那種會一直注意我已讀了沒，那種我可能就會比較快的回他	Hank	2019/8/25 14:14:59		重複(ys)	54	0.44	215	215
●	uid32-ys	通訊內容的特性\不重要	0	A:家人吧，家人比較，有時候越好就覺得越沒關係，我哥可能有時候會隨便傳一些訊息給我，那我可能有時候會先以讀一下然後就不理，那我可能覺得沒關係，我姐也是	Hank	2019/8/25 14:15:11		重複(ys)	75	0.61	218	218
●	uid32-ys	關係基礎分類\家人	0	A:家人吧，家人比較，有時候越好就覺得越沒關係，我哥可能有時候會隨便傳一些訊息給我，那我可能有時候會先以讀一下然後就不理，那我可能覺得沒關係，我姐也是	Hank	2019/8/25 14:15:14		重複(ys)	75	0.61	218	218
●	uid32-ys	受測者回覆速度\不回覆	0	A:家人吧，家人比較，有時候越好就覺得越沒關係，我哥可能有時候會隨便傳一些訊息給我，那我可能有時候會先以讀一下然後就不理，那我可能覺得沒關係，我姐也是	Hank	2019/8/25 14:15:20		重複(ys)	75	0.61	218	218
●	uid32-ys	聯絡人使用通訊軟體的態度\不在意被已讀	0	A:跟老師來講，我有時候可能會已讀一下下，如果我不小心已讀的話我可能就已讀半小時，可是通常都會盡量不要已讀到，可是我覺得老師也不會那麼注意到底有沒有已讀，所以有時候會拖一下下	Hank	2019/8/25 14:15:29		重複(ys)	87	0.70	220	220
●	uid32-ys	受測者回覆速度\回覆速度慢	0	A:跟老師來講，我有時候可能會已讀一下下，如果我不小心已讀的話我可能就已讀半小時，可是通常都會盡量不要已讀到，可是我覺得老師也不會那麼注意到底有沒有已讀，所以有時候會拖一下下	Hank	2019/8/25 14:15:32		重複(ys)	87	0.70	220	220
●	uid32-ys	關係基礎分類\工作夥伴	0	A:跟老師來講，我有時候可能會已讀一下下，如果我不小心已讀的話我可能就已讀半小時，可是通常都會盡量不要已讀到，可是我覺得老師也不會那麼注意到底有沒有已讀，所以有時候會拖一下下	Hank	2019/8/25 14:15:36		重複(ys)	87	0.70	220	220
●	uid32-ys	聯絡人與受測者的關係\聯絡人權力關係較高	0	A:跟老師來講，我有時候可能會已讀一下下，如果我不小心已讀的話我可能就已讀半小時，可是通常都會盡量不要已讀到，可是我覺得老師也不會那麼注意到底有沒有已讀，所以有時候會拖一下下	Hank	2019/8/25 14:15:38		重複(ys)	87	0.70	220	220
●	uid32-ys	關係基礎分類\重要他人	0	A:但是對伴侶的話就是不能已讀，已讀就一定要回，因為他一定會一直注意我有沒有回	Hank	2019/8/25 14:15:44		重複(ys)	39	0.32	221	221
●	uid32-ys	聯絡人使用通訊軟體的態度\在意被已讀	0	A:但是對伴侶的話就是不能已讀，已讀就一定要回，因為他一定會一直注意我有沒有回	Hank	2019/8/25 14:15:51		重複(ys)	39	0.32	221	221
●	uid32-ys	受測者回覆速度\回覆速度快	0	A:但是對伴侶的話就是不能已讀，已讀就一定要回，因為他一定會一直注意我有沒有回	Hank	2019/8/25 14:15:58		重複(ys)	39	0.32	221	221
●	uid32-ys	聯絡人回覆速度\不回覆	0	A:家人來講的話結束就會......我還蠻常句點我哥的，因為我哥很愛傳一些莫名其妙的連結過來，然後我就會說好喔	Hank	2019/8/25 14:16:35		重複(ys)	55	0.45	269	269
●	uid32-ys	關係基礎分類\家人	0	A:家人來講的話結束就會......我還蠻常句點我哥的，因為我哥很愛傳一些莫名其妙的連結過來，然後我就會說好喔	Hank	2019/8/25 14:16:38		重複(ys)	55	0.45	269	269
●	uid32-ys	通訊內容的特性\不重要	0	A:家人來講的話結束就會......我還蠻常句點我哥的，因為我哥很愛傳一些莫名其妙的連結過來，然後我就會說好喔	Hank	2019/8/25 14:16:47		重複(ys)	55	0.45	269	269
●	uid32-ys	受測者使用通訊軟體的態度\不在意對方是否盡快回覆	0	A:我自己是沒有期待他回，因為新聞就是給他看，那看完無感她就不會回了，那他如果覺得很有趣或是太可惡了他就會回，那我不會強制要他回，那他好像會希望我回就是了	Hank	2019/8/25 14:17:28		重複(ys)	77	0.62	306	306
●	uid32-ys	關係基礎分類\重要他人	0	A:我自己是沒有期待他回，因為新聞就是給他看，那看完無感她就不會回了，那他如果覺得很有趣或是太可惡了他就會回，那我不會強制要他回，那他好像會希望我回就是了	Hank	2019/8/25 14:17:33		重複(ys)	77	0.62	306	306
●	uid32-ys	受測者回覆速度\回覆速度快	0	A:我會馬上回誒，因為冠儀是比較可以馬上回的，因為他不是想跟你拉勒的，所以他就是可以馬上回覆的人，也不會站你太多時間這樣	Hank	2019/8/25 14:18:24		重複(ys)	60	0.49	341	341
●	uid32-ys	通訊內容的特性\好處理	0	A:我會馬上回誒，因為冠儀是比較可以馬上回的，因為他不是想跟你拉勒的，所以他就是可以馬上回覆的人，也不會站你太多時間這樣	Hank	2019/8/25 14:18:27		重複(ys)	60	0.49	341	341
●	uid32-ys	關係基礎分類\朋友	0	A:我會馬上回誒，因為冠儀是比較可以馬上回的，因為他不是想跟你拉勒的，所以他就是可以馬上回覆的人，也不會站你太多時間這樣	Hank	2019/8/25 14:18:30		重複(ys)	60	0.49	341	341
●	uid32-ys	受測者回覆速度\回覆速度慢	0	A:對他如果問我問題他應該是正在報，但我很常隔天才回他的原因是因為，因為我其實很不習慣用line，所以我很常忘記line有訊息，對對對對，所以對他也有點不好意思，可是老師比較喜歡用line聊公事	Hank	2019/8/25 14:19:01		重複(ys)	97	0.79	359	359
●	uid32-ys	關係基礎分類\工作夥伴	0	A:對他如果問我問題他應該是正在報，但我很常隔天才回他的原因是因為，因為我其實很不習慣用line，所以我很常忘記line有訊息，對對對對，所以對他也有點不好意思，可是老師比較喜歡用line聊公事	Hank	2019/8/25 14:19:04		重複(ys)	97	0.79	359	359
●	uid32-ys	聯絡人與受測者的關係\聯絡人權力關係較高	0	A:對他如果問我問題他應該是正在報，但我很常隔天才回他的原因是因為，因為我其實很不習慣用line，所以我很常忘記line有訊息，對對對對，所以對他也有點不好意思，可是老師比較喜歡用line聊公事	Hank	2019/8/25 14:19:07		重複(ys)	97	0.79	359	359
●	uid32-ys	通訊管道相關\使用其他管道通訊	0	A:對他如果問我問題他應該是正在報，但我很常隔天才回他的原因是因為，因為我其實很不習慣用line，所以我很常忘記line有訊息，對對對對，所以對他也有點不好意思，可是老師比較喜歡用line聊公事	Hank	2019/8/25 14:19:11		重複(ys)	97	0.79	359	359
●	uid37-ys	通訊內容的特性\工作相關	0	A：佩如可能是就只有聊工作上的事情	Hank	2019/8/25 14:19:56		重複(ys)	17	0.14	16	16
●	uid37-ys	關係基礎分類\工作夥伴	0	A：佩如可能是就只有聊工作上的事情	Hank	2019/8/25 14:20:01		重複(ys)	17	0.14	16	16
●	uid37-ys	關係基礎分類\家人	0	"A：家人也有分像是爸媽就會聊一些比較正經的東西
A：那如果姪子或是兄弟這種可能也是吃喝玩樂會比較比較像是歸類在朋友的聊天話題 生活新知啊笑話或是分享啊什麼的"	Hank	2019/10/19 15:13:19		重複(ys)	78	0.66	23	24
●	uid37-ys	通訊內容的特性\急迫	0	A：或是???或是突然有什麼事需要詢問他要趕快得到答案的 對 就譬如說今天晚餐要吃什麼還是我們等一下要約哪裡 或是你等一下要買什麼或是我要去哪裡等你之類的問題	Hank	2019/8/25 14:21:23		重複(ys)	79	0.67	43	43
●	uid37-ys	關係基礎分類\重要他人	0	A：或是???或是突然有什麼事需要詢問他要趕快得到答案的 對 就譬如說今天晚餐要吃什麼還是我們等一下要約哪裡 或是你等一下要買什麼或是我要去哪裡等你之類的問題	Hank	2019/8/25 14:21:26		重複(ys)	79	0.67	43	43
●	uid37-ys	通訊管道相關\使用其他管道通訊	0	A：語音的話就是?有時候打字嫌麻煩或者是打太多字就直接打Line電話用講的 或者是打中華電信的市話用講的打手機直接用講的 對對對	Hank	2019/8/25 14:21:37		重複(ys)	64	0.54	49	49
●	uid37-ys	關係基礎分類\重要他人	0	A：語音的話就是?有時候打字嫌麻煩或者是打太多字就直接打Line電話用講的 或者是打中華電信的市話用講的打手機直接用講的 對對對	Hank	2019/8/25 14:21:41		重複(ys)	64	0.54	49	49
●	uid37-ys	通訊內容的特性\難處理	0	A：哦幫人家買東西的時候 假設我看到這個東西要買人家可能問我這個多少錢 我要回覆他多少錢 然後他還會再問說這個容量幾ml 然後我還要回覆我還要拿起來看這個容量幾ml 像是這種我可能就會直接選擇打電話問他 直接用電話去溝通這個東西是不是他要的需求	Hank	2019/8/25 14:21:56		重複(ys)	122	1.03	53	53
●	uid37-ys	通訊管道相關\使用其他管道通訊	0	A：哦幫人家買東西的時候 假設我看到這個東西要買人家可能問我這個多少錢 我要回覆他多少錢 然後他還會再問說這個容量幾ml 然後我還要回覆我還要拿起來看這個容量幾ml 像是這種我可能就會直接選擇打電話問他 直接用電話去溝通這個東西是不是他要的需求	Hank	2019/8/25 14:21:58		重複(ys)	122	1.03	53	53
●	uid37-ys	受測者回覆速度\回覆速度慢	0	A：因為有時候就是想工作上的關係呀有時候工作上像是開會啊不管是他或者是誰我都沒有辦法馬上去做回覆	Hank	2019/8/25 14:22:33		重複(ys)	48	0.41	61	61
●	uid37-ys	關係基礎分類\重要他人	0	A：因為有時候就是想工作上的關係呀有時候工作上像是開會啊不管是他或者是誰我都沒有辦法馬上去做回覆	Hank	2019/8/25 14:22:36		重複(ys)	48	0.41	61	61
●	uid37-ys	通訊當下的客觀情境\忙碌	0	A：因為有時候就是想工作上的關係呀有時候工作上像是開會啊不管是他或者是誰我都沒有辦法馬上去做回覆	Hank	2019/8/25 14:22:42		重複(ys)	48	0.41	61	61
●	uid37-ys	通訊內容的特性\不重要	0	A：那再來就是如果有些訊息因為訊息上可以預覽嘛 有些訊息不是說這麼重要的訊息其實看了我也不一定會回 對對對	Hank	2019/8/25 14:22:56		重複(ys)	53	0.45	63	63
●	uid37-ys	關係基礎分類\重要他人	0	A：那再來就是如果有些訊息因為訊息上可以預覽嘛 有些訊息不是說這麼重要的訊息其實看了我也不一定會回 對對對	Hank	2019/8/25 14:22:59		重複(ys)	53	0.45	63	63
●	uid37-ys	受測者回覆速度\回覆速度慢	0	A：那再來就是如果有些訊息因為訊息上可以預覽嘛 有些訊息不是說這麼重要的訊息其實看了我也不一定會回 對對對	Hank	2019/8/25 14:23:05		重複(ys)	53	0.45	63	63
●	uid37-ys	關係基礎分類\家人	0	A：差不多?其實是差不多 如果說爸媽傳訊息給我然後不是說很重要的那種或是那種不需要馬上回覆的我如果在忙我也不一定會馬上回	Hank	2019/8/25 14:23:12		重複(ys)	60	0.51	65	65
●	uid37-ys	通訊內容的特性\不重要	0	A：差不多?其實是差不多 如果說爸媽傳訊息給我然後不是說很重要的那種或是那種不需要馬上回覆的我如果在忙我也不一定會馬上回	Hank	2019/8/25 14:23:19		重複(ys)	60	0.51	65	65
●	uid37-ys	關係基礎分類\家人	0	"A：他很快他幾乎是秒讀 因為現在是暑假期間他手機幾乎是不離身 我敲他他馬上就會回
Q：嗯嗯
A：那我的話 基本上是我沒事我看到他敲我我可以回的話就會馬上回 對 
A：除非說我工作真的在忙或是在開會或是在騎車這種的當然沒辦法 對
Q：嗯嗯嗯 那他的訊息對你來說 是 就是你對他的 你對於跟他聊天的這件事情就是你的感覺是什麼？
A：是愉快的 但是聊天內容的重要性其實是都不重要 都是講一些543的東西 對對對都是沒有什麼重要性的東西"	Hank	2019/10/19 15:20:36		重複(ys)	214	1.81	79	84
●	uid37-ys	通訊當下的客觀情境\閒暇	0	A：那我的話 基本上是我沒事我看到他敲我我可以回的話就會馬上回 對 	Hank	2019/8/25 14:24:12		重複(ys)	33	0.28	81	81
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：那我的話 基本上是我沒事我看到他敲我我可以回的話就會馬上回 對 	Hank	2019/8/25 14:24:25		重複(ys)	33	0.28	81	81
●	uid37-ys	通訊當下的客觀情境\忙碌	0	A：除非說我工作真的在忙或是在開會或是在騎車這種的當然沒辦法 對	Hank	2019/8/25 14:24:43		重複(ys)	32	0.27	82	82
●	uid37-ys	受測者回覆速度\回覆速度慢	0	A：除非說我工作真的在忙或是在開會或是在騎車這種的當然沒辦法 對	Hank	2019/8/25 14:24:53		重複(ys)	32	0.27	82	82
●	uid37-ys	通訊內容的特性\不重要	0	A：是愉快的 但是聊天內容的重要性其實是都不重要 都是講一些543的東西 對對對都是沒有什麼重要性的東西	Hank	2019/8/25 14:25:08		重複(ys)	52	0.44	84	84
●	uid37-ys	關係基礎分類\家人	0	A：因為?姪子 冠瑋這個人他不太會問我需要立即性回覆的問題	Hank	2019/8/25 14:25:27		重複(ys)	29	0.24	90	90
●	uid37-ys	通訊內容的特性\不急迫	0	A：因為?姪子 冠瑋這個人他不太會問我需要立即性回覆的問題	Hank	2019/8/25 14:25:33		重複(ys)	29	0.24	90	90
●	uid37-ys	通訊內容的特性\急迫	0	A：媽媽有時候會問說下班可不可以幫我帶什麼東西回來或者是說週末可以幫我拿什麼東西過來嗎 還是說 嗯?今天有沒有要過來吃飯就是這種?有時候媽媽四點多問我有沒有要回家吃飯 她必須要備料要煮菜所以這種就必須要給他一個趕快的回覆 對對對對對 或者是她需要買什麼東西 有時候需要我幫忙 那這種需要比較即時性的回覆 對對對	Hank	2019/8/25 14:25:42		重複(ys)	155	1.31	91	91
●	uid37-ys	關係基礎分類\家人	0	A：媽媽有時候會問說下班可不可以幫我帶什麼東西回來或者是說週末可以幫我拿什麼東西過來嗎 還是說 嗯?今天有沒有要過來吃飯就是這種?有時候媽媽四點多問我有沒有要回家吃飯 她必須要備料要煮菜所以這種就必須要給他一個趕快的回覆 對對對對對 或者是她需要買什麼東西 有時候需要我幫忙 那這種需要比較即時性的回覆 對對對	Hank	2019/8/25 14:25:45		重複(ys)	155	1.31	91	91
●	uid37-ys	通訊當下的客觀情境\閒暇	0	A：其實如果工作上有空檔或者是有閑的話好朋友找我我也會回	Hank	2019/8/25 14:26:28		重複(ys)	28	0.24	115	115
●	uid37-ys	關係基礎分類\朋友	0	A：其實如果工作上有空檔或者是有閑的話好朋友找我我也會回	Hank	2019/8/25 14:26:31		重複(ys)	28	0.24	115	115
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：其實如果工作上有空檔或者是有閑的話好朋友找我我也會回	Hank	2019/8/25 14:26:40		重複(ys)	28	0.24	115	115
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：我伴侶找我的話我當然也會回 對對對	Hank	2019/8/25 14:26:47		重複(ys)	19	0.16	117	117
●	uid37-ys	關係基礎分類\重要他人	0	A：我伴侶找我的話我當然也會回 對對對	Hank	2019/8/25 14:26:50		重複(ys)	19	0.16	117	117
●	uid37-ys	通訊當下的客觀情境\閒暇	0	A：我伴侶找我的話我當然也會回 對對對	Hank	2019/8/25 14:26:54		重複(ys)	19	0.16	117	117
●	uid37-ys	通訊內容的特性\急迫	0	A：在忙的時候我還是會先回他	Hank	2019/8/25 14:27:11		重複(ys)	14	0.12	120	120
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：在忙的時候我還是會先回他	Hank	2019/8/25 14:27:17		重複(ys)	14	0.12	120	120
●	uid37-ys	關係基礎分類\家人	0	"A：就像?假設?嗯?媽媽問我說 等一下可不可以幫她做什麼做什麼 然後我可能要回答他可以或者是不行 對 我都要回那可能就是我會先回她
A：那其他人傳一些人家的旅遊遊記呀或是健康養生訊息這種我就可能會先不回"	Hank	2019/10/19 15:22:45		重複(ys)	101	0.85	122	123
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：就像?假設?嗯?媽媽問我說 等一下可不可以幫她做什麼做什麼 然後我可能要回答他可以或者是不行 對 我都要回那可能就是我會先回她	Hank	2019/8/25 14:28:37		重複(ys)	65	0.55	122	122
●	uid37-ys	受測者回覆速度\回覆速度慢	0	A：那其他人傳一些人家的旅遊遊記呀或是健康養生訊息這種我就可能會先不回	Hank	2019/8/25 14:28:42		重複(ys)	35	0.30	123	123
●	uid37-ys	通訊管道相關\使用其他管道通訊	0	A：哦～可能因為 爸爸都直接打Line電話他有事都直接打Line電話給我他不會 他不喜歡打字	Hank	2019/8/25 14:28:58		重複(ys)	46	0.39	129	129
●	uid37-ys	關係基礎分類\家人	0	A：哦～可能因為 爸爸都直接打Line電話他有事都直接打Line電話給我他不會 他不喜歡打字	Hank	2019/8/25 14:29:02		重複(ys)	46	0.39	129	129
●	uid37-ys	通訊內容的特性\重要	0	A：哦可能是既定印象你可能會認為媽媽傳什麼重要度都會比較高 所以我一致都會給比較高 	Hank	2019/8/25 14:29:15		重複(ys)	41	0.35	139	139
●	uid37-ys	關係基礎分類\家人	0	"A：哦可能是既定印象你可能會認為媽媽傳什麼重要度都會比較高 所以我一致都會給比較高 
A：當然如果媽媽傳給我的那些什麼健康養生訊息那種可看可不看的我也不會理她（語速快） 對說實話是這樣子"	Hank	2019/10/19 15:23:18		重複(ys)	93	0.79	139	140
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：哦可能是既定印象你可能會認為媽媽傳什麼重要度都會比較高 所以我一致都會給比較高 	Hank	2019/8/25 14:29:25		重複(ys)	41	0.35	139	139
●	uid37-ys	受測者回覆速度\回覆速度慢	0	A：當然如果媽媽傳給我的那些什麼健康養生訊息那種可看可不看的我也不會理她（語速快） 對說實話是這樣子	Hank	2019/8/25 14:29:35		重複(ys)	50	0.42	140	140
●	uid37-ys	關係基礎分類\朋友	0	A：嗯?每天都會聊天 都用Line打字 那偶爾才會用電話 對 那回覆頻率基本上 因為跟他聊天可能需要?沒辦法說只聊一下子就是一聊可能就是半小時、10分鐘、20分鐘以上 就是這樣來來回回就是一直打字	Hank	2019/8/25 14:30:16		重複(ys)	98	0.83	156	156
●	uid37-ys	聯絡人與受測者的關係\較親近	0	A：嗯?每天都會聊天 都用Line打字 那偶爾才會用電話 對 那回覆頻率基本上 因為跟他聊天可能需要?沒辦法說只聊一下子就是一聊可能就是半小時、10分鐘、20分鐘以上 就是這樣來來回回就是一直打字	Hank	2019/8/25 14:30:21		重複(ys)	98	0.83	156	156
●	uid37-ys	通訊管道相關\使用其他管道通訊	0	A：嗯?每天都會聊天 都用Line打字 那偶爾才會用電話 對 那回覆頻率基本上 因為跟他聊天可能需要?沒辦法說只聊一下子就是一聊可能就是半小時、10分鐘、20分鐘以上 就是這樣來來回回就是一直打字	Hank	2019/8/25 14:30:30		重複(ys)	98	0.83	156	156
●	uid37-ys	受測者回覆速度\回覆速度快	0	A：交情比較好的 偏好的	Hank	2019/8/25 14:31:15		重複(ys)	12	0.10	182	182
●	uid37-ys	聯絡人與受測者的關係\較親近	0	A：交情比較好的 偏好的	Hank	2019/8/25 14:31:18		重複(ys)	12	0.10	182	182
●	uid37-ys	關係基礎分類\朋友	0	A：交情比較好的 偏好的	Hank	2019/8/25 14:31:31		重複(ys)	12	0.10	182	182
●	uid37-ys	通訊內容的特性\非工作相關(限用於工作夥伴)	0	A：那有兩位比較熟的那基本上就是有共同的興趣可能會看誒晚上或是下班後可能看到有類似的訊息就會轉傳啊 或是說我今天去做了什麼事 我今天去做這個活動可能也是你有興趣的 我就會跟你分享 基本上就是在於共同的話題或是公事我們才會聊	Hank	2019/8/25 14:32:28		重複(ys)	111	0.94	229	229
●	uid37-ys	關係基礎分類\工作夥伴	0	A：那有兩位比較熟的那基本上就是有共同的興趣可能會看誒晚上或是下班後可能看到有類似的訊息就會轉傳啊 或是說我今天去做了什麼事 我今天去做這個活動可能也是你有興趣的 我就會跟你分享 基本上就是在於共同的話題或是公事我們才會聊	Hank	2019/8/25 14:32:31		重複(ys)	111	0.94	229	229
●	uid37-ys	關係基礎分類\工作夥伴	0	A：就真的是?純?? 因為一來是因為其實是算不熟 二來是其實我也不知道她有什麼興趣 所以跟她就不會有興趣方面 就不會有像是吃喝玩樂方面的話題 對 基本上就是純公事	Hank	2019/8/25 14:33:00		重複(ys)	81	0.68	237	237
●	uid37-ys	聯絡人與受測者的關係\較疏離	0	A：就真的是?純?? 因為一來是因為其實是算不熟 二來是其實我也不知道她有什麼興趣 所以跟她就不會有興趣方面 就不會有像是吃喝玩樂方面的話題 對 基本上就是純公事	Hank	2019/8/25 14:33:03		重複(ys)	81	0.68	237	237
●	uid37-ys	通訊內容的特性\工作相關	0	A：就真的是?純?? 因為一來是因為其實是算不熟 二來是其實我也不知道她有什麼興趣 所以跟她就不會有興趣方面 就不會有像是吃喝玩樂方面的話題 對 基本上就是純公事	Hank	2019/8/25 14:33:06		重複(ys)	81	0.68	237	237
